,h1,h2,c1,c2
1,0.507841448,0.548069044,0.868456007,0.962536394
2,0.499157499,0.470050027,0.681215775,0.412712799
3,0.450948059,0.525391732,0.863481004,1.002940054
4,0.473716143,0.451758147,0.675802494,1.231753392
5,0.479084343,0.530733601,0.936340027,0.714363319
6,0.428488162,0.48912851,0.846955909,0.706426539
7,0.466765871,0.509201119,0.889377915,0.768101527
8,0.457289828,0.521819091,0.81995776,1.133018256
9,0.52018857,0.475628636,1.245241324,0.795082983
10,0.483801676,0.494501031,0.212690751,0.512406035
11,0.490728803,0.424545856,0.972503912,1.15914227
12,0.424826531,0.388801808,0.92334182,1.020878787
13,0.46463511,0.507462715,0.819436969,1.109646023
14,0.559452508,0.518809207,0.779401616,0.805289564
15,0.486787255,0.460132578,0.932169369,0.428284068
16,0.463279231,0.439111134,0.898649055,0.893778004
17,0.463963894,0.513765932,1.190171546,1.34322499
18,0.495736463,0.516579907,0.931879896,1.091875676
19,0.465684781,0.504576125,0.86405052,1.047525035
20,0.485546259,0.514780338,1.083937633,0.835882113
21,0.462103873,0.505389306,0.589339125,0.475061564
22,0.528742768,0.510413631,1.006685711,1.053342516
23,0.509020774,0.450687742,0.819265122,1.007231007
24,0.493062536,0.498693707,0.484147441,0.783224683
25,0.48095303,0.532524457,0.679786887,1.194430817
26,0.458512075,0.54665284,0.33502786,0.663583237
27,0.497912542,0.453715559,0.755764927,1.066687721
28,0.547768038,0.461661513,0.620465,0.766188665
29,0.441816117,0.463511923,1.055934069,0.738695714
30,0.477860096,0.473991206,0.773501446,0.793205547
31,0.516932569,0.496924263,0.987128659,0.999588378
32,0.540649221,0.492225777,0.828890886,0.516407151
33,0.480628935,0.439482433,1.097920387,1.035039897
34,0.441119596,0.435973715,1.324697307,0.557810117
35,0.483134223,0.502450534,1.002455023,0.846666641
36,0.489899376,0.448318987,1.052661391,0.68979352
37,0.490985737,0.542959668,0.5175199,0.81168901
38,0.46727388,0.499054809,0.314521758,1.047780743
39,0.503838251,0.466321737,0.779869074,0.612767365
40,0.509309792,0.500375147,1.138750388,0.347600516
41,0.512178098,0.453663958,1.134686117,1.009416967
42,0.508852191,0.465375152,0.602428039,0.699497402
43,0.515526133,0.50040835,0.937185132,0.832591387
44,0.495378602,0.475602009,0.871763834,0.920199492
45,0.438637869,0.44133892,1.158462109,1.200914729
46,0.471540455,0.484934134,0.953041776,0.94531165
47,0.461964289,0.43962052,0.689229827,1.199692208
48,0.496015607,0.467086243,0.558094121,0.993089527
49,0.5110712,0.44238283,1.143689675,1.038490431
50,0.479161162,0.499503445,1.042795017,0.706056762
51,0.529412522,0.494798434,0.974705845,1.167831566
52,0.463931901,0.484657307,0.967798861,0.733541309
53,0.513928072,0.43432419,0.869725299,0.770012417
54,0.530927715,0.521688233,0.992490775,0.696638832
55,0.440152189,0.442507279,1.267767381,0.849002068
56,0.527202787,0.519438224,0.902963602,1.067994591
57,0.495242489,0.490709174,0.773960923,0.517371542
58,0.460958261,0.459053537,1.030343968,0.779526381
59,0.50513024,0.531404454,0.729639779,1.073052618
60,0.463051582,0.54845219,0.994339822,1.014445766
61,0.596363621,0.497658777,0.738546478,0.753973872
62,0.477424228,0.450149149,1.049817369,1.187869544
63,0.468423222,0.456397592,0.66148618,0.99474194
64,0.532039085,0.468017329,0.840848686,0.854244131
65,0.448870306,0.482804538,0.88257992,0.789833067
66,0.516357401,0.503443767,0.998605531,0.513723201
67,0.465145593,0.472899314,0.948070248,0.80273906
68,0.473138402,0.480388042,0.71799043,1.030748073
69,0.505729182,0.55188048,1.083545335,0.675693041
70,0.470328972,0.482539889,0.826157669,1.198291523
71,0.456181727,0.465159778,1.128894513,1.100172925
72,0.523119589,0.517581186,0.718638104,0.796151686
73,0.425597002,0.515913324,0.954259833,0.660502281
74,0.553196608,0.467496981,0.678606438,1.088936317
75,0.583926248,0.501552192,0.750653921,0.680778602
76,0.426516949,0.530141091,1.103494355,0.893878372
77,0.556451746,0.497396111,0.892196137,0.618936165
78,0.523431181,0.553941958,0.669380313,1.061005783
79,0.51922061,0.53568881,0.514210998,0.927127949
80,0.4798409,0.527911628,0.216810302,1.073929513
81,0.53471506,0.43191151,0.649058974,1.302042159
82,0.527436848,0.440738258,1.202157712,0.955358929
83,0.494645862,0.513168773,1.040248717,0.617810431
84,0.530866742,0.479971494,1.023527847,0.88741256
85,0.493512226,0.503651758,0.397599928,0.754432184
86,0.486647673,0.461622482,0.588618749,0.685720236
87,0.519889388,0.510744473,0.444111602,0.479519371
88,0.512239001,0.466916291,0.591910245,0.771806623
89,0.526473971,0.421799217,0.911703836,0.524212709
90,0.471376749,0.499949954,1.124967303,0.647967503
91,0.482273144,0.422217206,0.742031755,1.055372082
92,0.476746862,0.491351022,0.667123578,0.649450985
93,0.448601587,0.496204886,0.831707613,0.84272806
94,0.483539423,0.48400471,0.758985981,0.929229792
95,0.46319341,0.471587181,0.712245863,0.805035316
96,0.470450839,0.471910988,1.283176206,0.890033802
97,0.477762557,0.469840579,0.517973318,1.032981342
98,0.428517573,0.415358664,1.044329491,0.780390986
99,0.479684354,0.470639286,0.484073074,0.774044148
100,0.45646125,0.494750657,0.897757477,1.204360629
